Ordem,ID,Versão,Sprint,Componente,Forma de integração,Tipo,Tarefa,Passo de execução,Artefato a produzir,Critério de aceite,Dependências,Requisitos,Status,Prioridade na versão,Risco,Aplicabilidade,Responsável,Revisor humano,Data de aceite,Evidência exigida,Evidência obtida,ADR / justificativa,Fechamento,Observações
1,SL-S01-01,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Congelar documentos de entrada,Copiar RFC e plano de integração para referências; registrar hashes e divergências.,docs/baseline/manifest.json,Os dois documentos permanecem íntegros e cada divergência aponta à seção de origem.,,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-01.md,,,PENDENTE,
2,SL-S01-02,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Delimitar v1.0,Enumerar jornadas Captura→Mesa→Peça e separar requisitos de propostas pós-v1.0.,docs/product/scope-v1.md,Nenhuma funcionalidade original é silenciosamente adiada para v2; exclusões estão explícitas.,SL-S01-01,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-02.md,,,PENDENTE,
3,SL-S01-03,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Ratificar núcleo e workers,"Resolver ADR-001; distinguir linguagem do Core, runtime e modelo de distribuição.",docs/adr/001-composicao.md,Decisão aprovada pelo autor; rejeição de workers bloqueia o restante e exige novo plano.,SL-S01-02,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-03.md,,,PENDENTE,
4,SL-S01-04,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Ratificar Jev/offline,Escolher fallback local ou pendência; definir quando a API pode receber conteúdo.,docs/adr/004-egress-offline.md,"Falta de chave/rede não bloqueia captura, leitura ou autoria; nenhuma chamada implícita permitida.",SL-S01-03,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-04.md,,,PENDENTE,
5,SL-S01-05,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Escolher host de referência,Registrar máquina principal e acesso de teste aos cinco alvos previstos.,docs/adr/006-targets.md,"Plataforma de desenvolvimento escolhida e lacunas de hardware identificadas, sem alegar homologação.",SL-S01-04,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-05.md,,,PENDENTE,
6,SL-S01-06,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Fixar semântica de versões,"Separar versão do app, formato do Vault, contratos de workers e modelos.",docs/product/version-policy.md,Atualizar o app não implica migrar o Vault; regras pre-1.0 e compatibilidade estão claras.,SL-S01-05,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-06.md,,,PENDENTE,
7,SL-S01-07,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Definir dados sensíveis,"Classificar conteúdo, consultas, metadados, chaves e logs; negar envio por padrão.",docs/security/data-classification.md,"Casos de resumo e título sensível também exigem política de saída, não apenas documentos completos.",SL-S01-06,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-07.md,,,PENDENTE,
8,SL-S01-08,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Mapear atores e ameaças,"Incluir arquivo malformado, página hostil, extensão, modelo e processo local malicioso.",docs/security/threat-model.md,"Cada ator tem ativos, fronteiras e ataques de teste; modelo não aparece como autoridade confiável.",SL-S01-07,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-08.md,,,PENDENTE,
9,SL-S01-09,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Registrar não escopo,"Excluir SaaS obrigatório, colaboração em tempo real e marketplace irrestrito deste horizonte.",docs/product/non-goals.md,"Funcionalidades não aprovadas não entram por implicação da presença de Yjs, LocalAI ou MCP.",SL-S01-08,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-09.md,,,PENDENTE,
10,SL-S01-10,v0.0.1,S01,Arquitetura / produto,Próprio,Decisão,Aprovar inventário de requisitos,"Numerar invariantes, métricas e critérios; designar o autor como aprovador dos gates.",docs/product/requirements.yaml,"Cada requisito tem origem, critério e responsável; ambiguidades não são tratadas como concluídas.",SL-S01-09,R01; R03; R07; R08; R33; R34,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S01/SL-S01-10.md,,,PENDENTE,
